OBJECTID;Neighborhood;LAPD_Cost;LAPD_Days_in_Jail;LAPD_Arrests;LASD_Cost;LASD_Days_in_Jail;LASD_Arrests;F2010_Population;Combo_Cost;Combo_Cost_PerPop;Combo_Days;Combo_Days_PerPop;Combo_Arrests;Combo_Arrests_PerPop;spa;sup_dist;SHAPE_Length;SHAPE_Area
206;Tujunga;803750;3497;1612;924095;6322;270;26812;1727845;6,4443E+14;9819;3,66217E+14;1882;7,01925E+12;SPA 2 - San Fernando;District 5;2,95195E+14;2,53925E+14
207;Tujunga Canyons;13561;59;25;486289;3349;133;2857;499850;1,74956E+14;3408;1,19286E+14;158;5,53028E+14;SPA 3 - San Gabriel;District 5;1,74578E+14;5,8363E+14
208;Unincorporated Catalina Island;690;3;1;4966;18;8;521;5656;1,0856E+14;21;4,03071E+14;9;1,72745E+13;SPA 8 - South Bay;District 4;1,06181E+14;1,81884E+14
209;Unincorporated Santa Monica Mountains;28500;124;69;247178;1372;203;17285;275678;1,5949E+14;1496;8,6549E+14;272;1,57362E+14;SPA 5 - West;District 3;9,56257E+14;2,25808E+14
210;Unincorporated Santa Susana Mountains;28500;124;72;328803;2113;152;15215;357303;2,34836E+12;2237;1,47026E+14;224;1,47223E+14;SPA 2 - San Fernando;District 5;1,21823E+14;1,98299E+14
211;Universal City;0;0;0;0;0;0;0;0;;0;;0;;SPA 2 - San Fernando;District 5;5,332E+14;1,21612E+14
212;Valinda;26202;114;66;5647740;37277;2208;23506;5673942;2,41383E+14;37391;1,5907E+14;2274;9,67413E+14;SPA 3 - San Gabriel;District 1;1,62562E+13;5,07411E+13
213;Valley Glen;2495603;10858;5399;727308;4794;287;57959;3222911;5,56067E+14;15652;2,70053E+14;5686;9,81038E+13;SPA 2 - San Fernando;District 3;1,59478E+14;1,21727E+14
214;Valley Village;512084;2228;1197;81576;404;87;24039;593660;2,46957E+14;2632;1,09489E+14;1284;5,34132E+14;SPA 2 - San Fernando;District 5;9,75298E+14;5,28097E+14
215;Val Verde;27351;119;54;901636;6106;289;0;928987;;6225;;343;;SPA 2 - San Fernando;District 5;1,08807E+14;1,85383E+14
216;Van Nuys;6626057;28829;13511;1802050;11993;664;106451;8428107;7,91736E+14;40822;3,83482E+14;14175;1,3316E+14;SPA 2 - San Fernando;District 3;2,40568E+14;2,27777E+14
217;Venice;1797119;7819;3366;1874320;12856;534;36962;3671439;9,93301E+14;20675;5,59358E+14;3900;1,05514E+14;SPA 5 - West;District 3;1,71955E+14;8,01292E+14
218;Vernon;58609;255;115;78736;485;45;112;137345;1,22629E+14;740;6,60714E+14;160;1,42857E+14;SPA 7 - East;District 4;2,4609E+13;1,32029E+14
